iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
TCD,Africa,Chad,2022-03-03,7257.0,0.0,1.286,190.0,0.0,0.0,429.028,0.0,0.076,11.233,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
TCD,Africa,Chad,2022-03-04,7257.0,0.0,1.286,190.0,0.0,0.0,429.028,0.0,0.076,11.233,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
TCD,Africa,Chad,2022-03-05,7257.0,0.0,1.286,190.0,0.0,0.0,429.028,0.0,0.076,11.233,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,2022-03-01,3061019.0,0.0,23584.0,42353.0,0.0,118.143,159325.491,0.0,1227.543,2204.466,0.0,6.149,0.86,1107.0,57.619,,,493.0,25.661,,,51271.0,32822346.0,1708.397,2.669,91331.0,4.754,0.2582,3.9,tests performed,48884587.0,17802921.0,17244532.0,14411404.0,137510.0,86106.0,254.44,92.66,89.76,75.01,4482.0,6936.0,0.036,30.09,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHL,South America,Chile,2022-03-02,3098110.0,37091.0,25282.714,42411.0,58.0,120.0,161256.07,1930.58,1315.961,2207.485,3.019,6.246,0.88,1100.0,57.255,,,462.0,24.047,,,80811.0,32903157.0,1712.603,4.206,90206.0,4.695,0.2803,3.6,tests performed,48994210.0,17809222.0,17253135.0,14506160.0,109623.0,85729.0,255.01,92.7,89.8,75.5,4462.0,6562.0,0.034,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHL,South America,Chile,2022-03-03,3122802.0,24692.0,24129.571,42683.0,272.0,126.857,162541.285,1285.214,1255.94,2221.643,14.158,6.603,,1105.0,57.515,,,,,,,96681.0,32999838.0,1717.636,5.032,88293.0,4.596,0.2733,3.7,tests performed,49060956.0,17812534.0,17257682.0,14565048.0,66746.0,80913.0,255.36,92.71,89.83,75.81,4212.0,5747.0,0.03,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHL,South America,Chile,2022-03-04,3147434.0,24632.0,23080.143,42809.0,126.0,127.143,163823.376,1282.091,1201.317,2228.201,6.558,6.618,,1096.0,57.047,,,,,,,95416.0,33095254.0,1722.602,4.966,86409.0,4.498,,,tests performed,,,,,,,,,,,,,,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHL,South America,Chile,2022-03-05,3168335.0,20901.0,21815.0,42955.0,146.0,126.429,164911.269,1087.893,1135.467,2235.8,7.599,6.581,,1061.0,55.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHN,Asia,China,2022-03-01,109750.0,224.0,222.286,4636.0,0.0,0.0,75.993,0.155,0.154,3.21,0.0,0.0,2.71,,,,,,,,,,,,,,,,,,3135598000.0,,,,5753000.0,5690143.0,217.11,,,,3940.0,,,64.35,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2022-03-02,109964.0,214.0,226.286,4636.0,0.0,0.0,76.141,0.148,0.157,3.21,0.0,0.0,2.7,,,,,,,,,,,,,,,,,,3141473000.0,,,,5875000.0,5673286.0,217.52,,,,3928.0,,,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2022-03-03,110258.0,294.0,236.286,4636.0,0.0,0.0,76.345,0.204,0.164,3.21,0.0,0.0,,,,,,,,,,,,,,,,,,,3147007000.0,,,,5534000.0,5531571.0,217.9,,,,3830.0,,,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2022-03-04,110539.0,281.0,240.857,4636.0,0.0,0.0,76.539,0.195,0.167,3.21,0.0,0.0,,,,,,,,,,,,,,,,,,,3152419000.0,,,,5412000.0,5399571.0,218.28,,,,3739.0,,,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
CHN,Asia,China,2022-03-05,110868.0,329.0,253.714,4636.0,0.0,0.0,76.767,0.228,0.176,3.21,0.0,0.0,,,,,,,,,,,,,,,,,,,3156899000.0,,,,4480000.0,5319286.0,218.59,,,,3683.0,,,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,2022-03-01,6065801.0,1218.0,1953.571,138854.0,87.0,81.286,118320.521,23.759,38.107,2708.509,1.697,1.586,0.49,,,,,,,,,30211.0,33162747.0,646.878,0.589,29703.0,0.579,0.088,11.4,tests performed,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COL,South America,Colombia,2022-03-02,6067023.0,1222.0,1816.571,138899.0,45.0,76.429,118344.357,23.837,35.434,2709.387,0.878,1.491,0.48,,,,,,,,,26191.0,33188938.0,647.389,0.511,28565.0,0.557,0.078,12.8,tests performed,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COL,South America,Colombia,2022-03-03,6068074.0,1051.0,1645.429,138939.0,40.0,74.0,118364.858,20.501,32.096,2710.167,0.78,1.443,,,,,,,,,,31114.0,33220052.0,647.996,0.607,28002.0,0.546,0.073,13.7,tests performed,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COL,South America,Colombia,2022-03-04,6069425.0,1351.0,1530.0,138984.0,45.0,69.0,118391.211,26.353,29.844,2711.045,0.878,1.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COL,South America,Colombia,2022-03-05,6070616.0,1191.0,1403.286,139037.0,53.0,62.714,118414.443,23.232,27.373,2712.079,1.034,1.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
